store,site_code,st_type,tier,op.date,sqft,store_format,region,zone,fdu.non.fdu,apparel_area,festival
LAWGARDEN,1,P1,i,2003-10-05T00:00:00Z,7034,Fashion,GUJRAT,North,fdu,6237.662413,dc
LAJPATNAGAR,5,P1,i,2004-09-18T00:00:00Z,7200,Fashion,DELHI NCR,North,nonfdu,5730.31183,dc
BHOPAL,9,P1,i,2005-08-26T00:00:00Z,8630,Composite,MP1,North,nonfdu,6241.803925,dc
CHANDIGARH,11,P1,i,2006-03-26T00:00:00Z,10000,Composite,PUN and HP,North,nonfdu,6318.86937,dc
JALANDHAR,12,P1,iii,2006-05-07T00:00:00Z,9888,Fashion,PUN and HP,North,nonfdu,8008.656953,dc
PATHANKOT,13,P1,iii,2006-09-24T00:00:00Z,6000,Composite,PUN and HP,North,nonfdu,4473.2223,dc
AJMER,15,P1,iii,2006-10-22T00:00:00Z,13800,Composite,RAJASTHAN-1,North,nonfdu,10071.21042,dc
GURDASPUR,21,P1,iii,2007-09-01T00:00:00Z,6500,Composite,PUN and HP,North,nonfdu,4557.059422,dc
GORAKHPUR,27,P1,iii,2008-05-15T00:00:00Z,8800,Composite,UP4,UP East,nonfdu,6132.833872,dc
MUZAFFARNAGAR,28,P1,iii,2008-05-25T00:00:00Z,7000,Fashion,DELHI NCR,North,nonfdu,6223.376254,dc
LUCKNOW,29,P1,i,2008-05-30T00:00:00Z,8500,Composite,UP13,UP East,nonfdu,6847.048331,dc
GANDHIDHAM,34,P1,iii,2008-10-01T00:00:00Z,6000,Fashion,GUJRAT,North,nonfdu,5097.354692,dc
MEHSANA,36,P1,iii,2008-10-08T00:00:00Z,6394,Fashion,GUJRAT,North,nonfdu,5076.853882,dc
KOTA,33,P1,ii,2008-10-18T00:00:00Z,8850,Composite,RAJASTHAN-2,North,nonfdu,6230.296665,dc
UDAIPUR,31,P1,iii,2008-10-22T00:00:00Z,7846,Fashion,RAJASTHAN-2,North,nonfdu,6510.701937,dc
MEERUT,35,P1,ii,2008-10-24T00:00:00Z,6750,Fashion,DELHI NCR,North,nonfdu,5098.394778,dc
KANPUR,38,P1,ii,2008-10-25T00:00:00Z,7000,Fashion,UP2,UP East,nonfdu,5323.786672,dc
GONDA,32,P1,iii,2008-10-27T00:00:00Z,7356,Composite,UP9,UP East,nonfdu,5443.879115,dc
AMBALA,41,P1,iii,2009-01-17T00:00:00Z,5500,Fashion,PUN and HP,North,nonfdu,4444.445058,dc
MURADABAD,40,P1,iii,2009-01-24T00:00:00Z,8680,Composite,UP11,UP East,nonfdu,6629.589902,dc
AZAMGARH,42,P1,iii,2009-05-25T00:00:00Z,9575,Composite,UP3,UP East,nonfdu,6470.43796,dc
SAHARANPUR,43,P1,iii,2009-06-30T00:00:00Z,8800,Composite,DELHI NCR,North,nonfdu,7393.448498,dc
UJJAIN,45,P1,iii,2009-10-14T00:00:00Z,7900,Fashion,MP2,North,nonfdu,6345.855907,dc
ARRAH,46,P1,iii,2009-10-15T00:00:00Z,12814,Composite,BIHAR 1,Bihar,nonfdu,7509.181721,pdc
SHAHAJAHANPUR,47,P1,iii,2009-10-28T00:00:00Z,11633,Composite,UP6,UP East,nonfdu,8805.352239,dc
SULTANPUR,48,P1,iii,2010-01-07T00:00:00Z,17000,Composite,UP9,UP East,nonfdu,9455.582182,dc
RENUKOOT,49,P1,iii,2010-01-10T00:00:00Z,6000,Composite,UP5,UP East,nonfdu,4361.58248,dc
BEGUSARAI,52,P1,iii,2010-04-08T00:00:00Z,13380,Composite,BIHAR 2,Bihar,nonfdu,9131.355507,pdc
BAHRAICH,55,P1,iii,2010-05-10T00:00:00Z,13050,Composite,UP13,UP East,nonfdu,7870.098447,dc
BASTI,54,P1,iii,2010-06-05T00:00:00Z,8200,Fashion,UP9,UP East,nonfdu,6093.328757,dc
GAZIPUR,58,P1,iii,2010-07-03T00:00:00Z,10660,Composite,UP3,UP East,nonfdu,6856.994573,dc
ALIGARH,59,P1,iii,2010-07-25T00:00:00Z,10052,Fashion,UP7,North,nonfdu,8504.989324,dc
PARTAP GARH,53,P1,iii,2010-09-08T00:00:00Z,7000,Composite,UP10,UP East,nonfdu,5465.649945,dc
DEORIA,61,P1,iii,2010-10-13T00:00:00Z,10317,Composite,UP4,UP East,nonfdu,7104.92296,dc
JAUNPUR,60,P1,iii,2010-10-30T00:00:00Z,9242,Composite,UP3,UP East,nonfdu,6093.441678,dc
DARBHANGA,71,P1,iii,2011-01-02T00:00:00Z,9370,Composite,BIHAR 2,Bihar,nonfdu,6065.77803,pdc
BHAGALPUR,62,P1,iii,2011-04-08T00:00:00Z,10000,Composite,BIHAR 3,Bihar,nonfdu,6744.908869,pdc
SRINAGAR,56,P1,i,2011-05-16T00:00:00Z,9884,Composite,J and K,North,nonfdu,6782.321859,dc
FAIZABAD,63,P1,iii,2011-06-13T00:00:00Z,13004,Composite,UP9,UP East,nonfdu,6916.940381,dc
LUXA,67,P1,ii,2011-08-29T00:00:00Z,7200,Fashion,UP5,UP East,nonfdu,6008.172109,dc
BERASIA,66,P1,i,2011-08-30T00:00:00Z,7111,Fashion,MP1,North,nonfdu,5871.320472,dc
MOTIHARI,65,P1,iii,2011-09-30T00:00:00Z,9000,Composite,BIHAR 2,Bihar,nonfdu,6793.197562,pdc
VIKAS NAGAR,69,P1,i,2011-10-19T00:00:00Z,9000,Composite,UP8,UP East,nonfdu,6684.66267,dc
SITAPUR,70,P1,iii,2011-12-30T00:00:00Z,9280,Composite,UP6,UP East,nonfdu,6746.314429,dc
JAMNAGAR,72,P1,iii,2012-03-31T00:00:00Z,5000,Fashion,GUJRAT,North,nonfdu,4185.684801,dc
LAXMINAGAR,22,P1,i,2012-06-13T00:00:00Z,5610,Fashion,DELHI NCR,North,nonfdu,4195.515533,dc
CHHAPRA,75,P1,iii,2012-06-19T00:00:00Z,5950,Fashion,BIHAR 1,Bihar,nonfdu,4546.623714,pdc
